Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,Label
linktr.ee,0,0,0,1,0,0,0,0,0,0,0,0,1
quad-as.de,0,0,1,3,0,0,0,1,0,1,1,1,1
my-jcb.lfsysw.com,0,0,0,0,0,0,0,1,0,1,0,1,1
chattyreentry.com,0,0,0,1,0,0,0,0,0,1,0,1,1
lionsbasketbisceglie.com,0,0,1,4,0,0,0,0,0,1,0,1,1
mala-riba.com,0,0,0,1,0,0,0,1,0,1,0,0,1
cikguafilza.com,0,1,1,2,0,0,0,0,0,1,0,1,1
uqr.to,0,0,0,1,0,0,0,0,0,1,1,1,1
materialspinpubgm.com,0,0,0,0,0,0,0,0,0,1,0,0,1
rakuteen.co.jp.m8kucnao.com,0,0,0,0,0,0,0,0,0,1,0,0,1
re-schedule-delivery.com,0,0,0,0,0,0,0,1,0,1,0,0,1
meat.uniandes.edu.co,0,0,1,3,0,0,0,0,0,1,0,0,1
fugas.cl,0,0,0,2,0,0,0,0,0,1,0,0,1
wriot-alternate.app.link,0,0,0,0,0,0,0,1,0,1,0,0,1
authenticate-newlyaddedpayee.com,0,0,1,2,0,0,0,1,0,1,0,0,1
ukcare.in,0,0,0,2,0,0,0,0,0,1,0,1,1
supportmediateam.com,0,0,0,0,0,0,0,0,0,1,0,0,1
1sultanbet.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,1
content43532522.texservis.su,0,0,1,1,0,0,0,0,0,1,0,0,1
e-receipts.co,0,0,1,1,0,0,0,1,0,1,0,0,1
insta-gram.fr,0,0,0,0,0,0,0,1,0,1,0,1,1
railcarpatient.com,0,0,1,1,0,0,1,0,0,1,0,1,1
whoisnooey.com,0,0,1,2,0,0,0,0,0,1,0,1,1
ktpn.kalisz.pl,0,1,1,2,0,0,0,0,0,1,0,0,1
support-confirm-my-newpayees.com,0,0,0,1,0,0,0,1,0,1,0,0,1
